xx yy
-55 -189 
-61 -189 
-46 -189 
-45 -189 
-45 -189 
-45 -189 
-45 -189 
-45 -189 
-45 -189 
-45 -189 
-45 -189 
-45 -188 
-45 -188 
-45 -188 
-45 -188 
-45 -188 
-45 -187 
-45 -187 
-45 -187 
-45 -187 
-45 -186 
-45 -186 
-44 -186 
-44 -185 
-44 -185 
-44 -185 
-44 -184 
-44 -184 
-44 -184 
-44 -183 
-43 -183 
-43 -183 
-43 -182 
-42 -182 
-42 -181 
-42 -181 
-42 -181 
-41 -180 
-41 -180 
-41 -179 
-40 -179 
-40 -178 
-40 -178 
-39 -178 
-39 -177 
-39 -177 
-38 -176 
-38 -176 
-38 -175 
-37 -175 
-37 -174 
-37 -174 
-36 -173 
-36 -173 
-36 -172 
-35 -172 
-35 -171 
-35 -171 
-34 -170 
-34 -170 
-33 -169 
-33 -169 
-33 -168 
-32 -168 
-32 -167 
-31 -167 
-31 -166 
-30 -166 
-29 -165 
-29 -165 
-28 -165 
-27 -165 
-26 -164 
-25 -164 
-24 -164 
-24 -164 
-23 -164 
-21 -164 
-20 -164 
-20 -164 
-19 -165 
-18 -165 
-17 -165 
-16 -165 
-15 -166 
-14 -166 
-13 -166 
-12 -166 
-12 -166 
-11 -166 
-10 -166 
-10 -166 
-9 -166 
-8 -166 
-8 -166 
-7 -166 
-6 -166 
-6 -166 
-5 -166 
-5 -166 
-4 -166 
-3 -166 
-3 -166 
-2 -166 
-2 -166 
-1 -166 
0 -167 
0 -167 
0 -167 
0 -167 
1 -167 
2 -166 
2 -166 
3 -166 
4 -166 
4 -166 
5 -166 
6 -166 
6 -166 
7 -166 
8 -166 
9 -166 
9 -166 
10 -166 
11 -166 
12 -166 
13 -166 
14 -166 
15 -166 
16 -165 
18 -165 
19 -165 
21 -165 
22 -165 
23 -164 
25 -164 
26 -165 
28 -165 
29 -165 
30 -166 
31 -167 
32 -168 
33 -169 
34 -170 
35 -171 
35 -172 
36 -173 
37 -174 
37 -175 
38 -176 
39 -178 
39 -179 
40 -180 
41 -182 
41 -183 
42 -184 
43 -186 
43 -187 
44 -189 
45 -190 
47 -192 
48 -194 
50 -196 
52 -198 
54 -200 
56 -202 
57 -205 
58 -207 
57 -210 
56 -212 
55 -213 
52 -214 
49 -215 
45 -215 
41 -215 
37 -215 
34 -214 
31 -214 
28 -213 
26 -213 
24 -213 
22 -213 
20 -213 
19 -213 
17 -213 
16 -213 
14 -213 
13 -212 
12 -212 
11 -212 
9 -212 
8 -212 
7 -212 
6 -212 
5 -212 
5 -212 
4 -212 
3 -212 
2 -212 
1 -212 
0 -212 
0 -212 
-1 -212 
-2 -212 
-3 -212 
-4 -212 
-5 -212 
-6 -212 
-6 -212 
-8 -212 
-9 -212 
-10 -212 
-11 -212 
-12 -212 
-14 -212 
-15 -212 
-16 -213 
-18 -213 
-20 -213 
-21 -213 
-23 -213 
-26 -213 
-28 -213 
-31 -213 
-35 -214 
-39 -214 
-44 -214 
-48 -214 
-51 -213 
-55 -212 
-57 -210 
-58 -208 
-57 -205 
-55 -202 
-53 -199 
-51 -196 
-48 -194 
-46 -191 
-45 -189 
-45 -187 
-44 -185 
-44 -183 
-42 -182 
-41 -180 
-40 -178 
-39 -177 
-38 -175 
-36 -174 
-35 -172 
-35 -171 
-34 -169 
-32 -168 
-31 -167 
-30 -165 
-28 -165 
-26 -164 
-24 -164 
-21 -164 
-19 -165 
-17 -165 
-15 -166 
-13 -166 
-12 -166 
-10 -166 
-9 -166 
-8 -166 
-7 -166 
-6 -166 
-4 -166 
-3 -166 
-2 -166 
-1 -166 
0 -167 
0 -167 
1 -167 
2 -166 
3 -166 
4 -166 
6 -166 
7 -166 
8 -166 
9 -166 
11 -166 
12 -166 
14 -166 
16 -166 
18 -165 
20 -165 
22 -164 
25 -164 
27 -165 
29 -165 
31 -166 
32 -168 
33 -169 
34 -171 
35 -172 
36 -174 
38 -176 
39 -177 
40 -179 
40 -181 
41 -183 
42 -185 
43 -187 
45 -189 
46 -192 
49 -194 
52 -197 
54 -200 
56 -204 
58 -207 
57 -210 
55 -213 
52 -214 
47 -215 
42 -215 
37 -215 
32 -214 
29 -214 
26 -213 
23 -213 
20 -213 
18 -213 
16 -213 
15 -213 
13 -213 
11 -212 
10 -212 
8 -212 
7 -212 
6 -212 
5 -212 
3 -212 
2 -212 
1 -212 
0 -212 
0 -212 
-1 -212 
-3 -212 
-4 -212 
-5 -212 
-6 -212 
-8 -212 
-9 -212 
-10 -212 
-12 -212 
-14 -212 
-15 -212 
-17 -213 
-19 -213 
-22 -213 
-24 -213 
-27 -213 
-30 -213 
-35 -214 
-40 -214 
-46 -215 
-50 -214 
-55 -212 
-57 -210 
-58 -207 
-56 -203 
-53 -199 
-51 -196 
-47 -193 
-46 -191 
-45 -188 
-44 -186 
-44 -184 
-42 -181 
-41 -179 
-39 -177 
-38 -176 
-36 -174 
-35 -172 
-34 -170 
-33 -169 
-32 -167 
-30 -166 
-28 -165 
-25 -164 
-23 -164 
-20 -164 
-18 -165 
-15 -165 
-13 -166 
-11 -166 
-10 -166 
-8 -166 
-7 -166 
-6 -166 
-4 -166 
-3 -166 
-2 -166 
0 -167 
0 -167 
1 -167 
2 -166 
4 -166 
5 -166 
6 -166 
8 -166 
9 -166 
