steps,return
33709.0,-2.0091002295526588
69798.0,-6.295733972019221
102062.0,-10.571548301328958
126531.0,-4.296942843192258
163713.0,-7.310166011047314
194995.0,-28.481097007186804
219444.0,-14.845933398450713
237016.0,-5.6212076307469605
266675.0,-13.4648560905719
297433.0,-16.615424930608793
313929.0,-11.676682365883336
338405.0,-10.747379483641064
361831.0,-4.3479431959155725
386813.0,-10.937145982032158
412492.0,-10.343319489249597
428171.0,-18.541944825785585
456493.0,-9.968643017140499
488734.0,-13.771981467521965
513965.0,-12.176158825880192
547149.0,-13.15406818911028
566585.0,-27.145919539810567
604625.0,-17.208556418221228
638986.0,-56.20598347295302
668229.0,-10.152451607373035
701400.0,-13.32198115795075
734825.0,-15.284827245431034
766298.0,-9.721746189633643
802374.0,-14.354594076320012
831389.0,-11.623252517262383
855358.0,-13.670584570398805
