index,flh,flk,frh,frk,blh,blk,brh,brk
89,4798,8787,9339,5593,6000,9901, 10713, 6637
88,4788,8836,9359,5651,5990,9863, 10723, 6608
87,4788,8865,9368,5690,5970,9815, 10732, 6570
86,4788,8894,9397,5728,5961,9777, 10732, 6541
85,4788,8933,9427,5777,5922,9739, 10732, 6503
84,4798,8962,9464,5816,5893,9682, 10713, 6474
83,4817,9010,9503,5845,5864,9654, 10713, 6436
82,4826,9039,9522,5893,5835,9625, 10703, 6407
81,4835,9078,9551,5922,5816,9568, 10684, 6378
80,4864,9097,9561,5961,5767,9540, 10664, 6349
79,4883,9117,9589,5980,5767,9521, 10655, 6311
78,4902,9136,9599,6000,5738,9492, 10616, 6282
77,4921,9155,9628,6029,5728,9454, 10597, 6273
76,4949,9184,9647,6048,5709,9436, 10587, 6234
75,4958,9204,9657,6087,5699,9417, 10577, 6215
74,4968,9233,9666,6096,5680,9388, 10558, 6205
73,4996,9243,9686,6125,5670,9378, 10538, 6167
72,5006,9272,9695,6135,5651,9368, 10529, 6148
71,5015,9291,9695,6145,5641,9330, 10509, 6129
70,5025,9310,9715,6164,5632,9320, 10509, 6109
69,5044,9330,9724,6184,5622,9310, 10480, 6090
68,5053,9359,9734,6193,5612,9291, 10470, 6071
67,5072,9378,9743,6222,5603,9272, 10461, 6062
66,5081,9397,9753,6232,5593,9262, 10441, 6052
65,5100,9417,9772,6242,5583,9243, 10422, 6023
64,5119,9436,9772,6261,5573,9223, 10412, 6004
63,5138,9464,9782,6280,5564,9194, 10393, 5985
62,5157,9492,9811,6300,5555,9184, 10373, 5956
61,5176,9511,9820,6309,5545,9155, 10344, 5927
60,5186,9540,9830,6338,5526,9136, 10335, 5889
59,5214,9578,9840,6377,5517,9078, 10315, 5870
58,5233,9616,9859,6416,5507,9059, 10276, 5822
57,5271,9644,9869,6464,5498,9010, 10247, 5802
56,5299,9673,9888,6503,5469,8971, 10218, 5764
55,5318,9701,9897,6552,5450,8933, 10179, 5745
54,5356,9730,9926,6600,5440,8894, 10150, 5716
53,5384,9749,9955,6629,5411,8846, 10131, 5687
