index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
46,0.0,5293,9853,10296,6600,0.0,5077,8933,10150,5620
45,0.0,5312,9872,10306,6629,0.0,5057,8913,10131,5611
44,0.0,5322,9882,10315,6639,0.0,5048,8894,10131,5601
43,0.0,5341,9891,10325,6658,0.0,5048,8865,10102,5591
42,0.0,5370,9910,10325,6668,0.0,5038,8846,10092,5582
41,0.0,5389,9910,10334,6687,0.0,5038,8826,10082,5573
40,0.0,5399,9920,10334,6706,0.0,5029,8807,10063,5554
39,0.0,5427,9929,10344,6716,0.0,5019,8797,10044,5554
38,0.0,5437,9929,10354,6735,0.0,5019,8778,10034,5544
37,0.0,5466,9939,10354,6755,0.0,5019,8758,10034,5535
36,0.0,5495,9948,10363,6765,0.0,5010,8729,10005,5525
35,0.0,5495,9958,10363,6774,0.0,5010,8720,9995,5516
34,0.0,5514,9958,10383,6784,0.0,5010,8700,9966,5506
33,0.0,5523,9958,10383,6794,0.0,5000,8691,9956,5506
32,0.0,5533,9967,10383,6803,0.0,4991,8671,9937,5497
31,0.0,5543,9967,10392,6813,0.0,4991,8662,9937,5497
30,0.0,5562,9967,10392,6832,0.0,4981,8642,9937,5497
29,0.0,5562,9986,10392,6832,0.0,4981,8632,9927,5487
28,0.0,5581,9996,10402,6852,0.0,4971,8623,9898,5487
27,0.0,5590,9996,10402,6852,0.0,4971,8613,9888,5477
26,0.0,5590,9996,10411,6861,0.0,4971,8603,9879,5477
25,0.0,5600,9996,10411,6861,0.0,4971,8594,9869,5477
24,0.0,5619,9996,10411,6861,0.0,4971,8603,9859,5477
23,0.0,5628,9996,10421,6871,0.0,4962,8584,9850,5477
22,0.0,5638,9996,10421,6871,0.0,4962,8584,9840,5477
21,0.0,5657,9996,10421,6871,0.0,4952,8574,9820,5477
20,0.0,5657,9996,10421,6881,0.0,4952,8574,9820,5477
19,0.0,5686,9986,10421,6881,0.0,4952,8574,9811,5477
18,0.0,5695,9977,10431,6871,0.0,4943,8565,9801,5477
17,0.0,5714,9977,10421,6881,0.0,4943,8565,9791,5477
16,0.0,5724,9967,10431,6871,0.0,4943,8565,9791,5477
15,0.0,5733,9958,10440,6871,0.0,4943,8565,9782,5477
14,0.0,5733,9958,10440,6871,0.0,4933,8574,9762,5477
13,0.0,5733,9948,10450,6861,0.0,4933,8574,9753,5487
12,0.0,5733,9939,10450,6861,0.0,4933,8574,9753,5487
11,0.0,5733,9939,10460,6861,0.0,4933,8574,9743,5487
10,0.0,5733,9929,10460,6852,0.0,4924,8594,9743,5497
9,0.0,5733,9910,10460,6842,0.0,4924,8594,9743,5497
8,0.0,5724,9901,10469,6813,0.0,4924,8603,9743,5506
7,0.0,5733,9901,10469,6803,0.0,4924,8613,9743,5506
6,0.0,5724,9882,10469,6784,0.0,4914,8623,9733,5525
5,0.0,5724,9882,10479,6784,0.0,4914,8642,9733,5535
4,0.0,5705,9872,10488,6765,0.0,4914,8652,9733,5544
3,0.0,5695,9863,10488,6755,0.0,4904,8671,9733,5554
2,0.0,5686,9863,10488,6735,0.0,4895,8691,9733,5563
1,0.0,5657,9863,10488,6706,0.0,4895,8700,9733,5573
0,0.0,5647,9853,10488,6687,0.0,4895,8720,9753,5591
199,0.0,5638,9844,10498,6668,0.0,4895,8749,9753,5601
198,0.0,5619,9834,10488,6648,0.0,4895,8768,9753,5611
197,0.0,5590,9825,10498,6629,0.0,4895,8778,9772,5630
196,0.0,5571,9825,10488,6600,0.0,4895,8807,9782,5649
195,0.0,5562,9825,10498,6590,0.0,4895,8836,9791,5659
194,0.0,5533,9806,10488,6561,0.0,4904,8865,9811,5668
193,0.0,5523,9796,10488,6532,0.0,4914,8894,9820,5687
192,0.0,5504,9787,10479,6493,0.0,4904,8923,9840,5707
191,0.0,5485,9758,10488,6474,0.0,4914,8942,9859,5726
190,0.0,5475,9739,10469,6455,0.0,4914,8981,9869,5745
189,0.0,5447,9720,10460,6426,0.0,4914,9010,9898,5755
